#	speedup parallel quicksort
#3 processors
#size	speedup
10000	0.563536
12500	0.719322
15625	0.746493
19531	0.771186
24413	0.919523
30516	0.8528
38145	0.915948
47681	0.943166
59601	1.06392
74501	1.06257
93126	1.02289
116407	1.0375
145508	1.16754
181885	1.1813
227356	1.3959
284195	1.43969
355243	1.56596
444053	1.63394
555066	1.73954
693832	1.82507
867290	1.89609
1084112	1.93775
1355140	2.01575
1693925	2.05139
2117406	2.07145
2646757	2.08611
3308446	2.08957
4135557	2.11044
5169446	2.12308
6461807	2.14582
8077258	2.1502

